DATE,og_employees
1990-01-01,5.9377400273505333
1990-04-01,5.7126790142749033
1990-07-01,5.6479002554645527
1990-10-01,5.8342826842244837
1991-01-01,4.4695540381927133
1991-04-01,4.4899787675278663
1991-07-01,4.2703451387226733
1991-10-01,4.2659019580940870
1992-01-01,4.2327910994453900
1992-04-01,4.5495575931998868
1992-07-01,4.4123562629903533
1992-10-01,4.0321474940472767
1993-01-01,4.3261277600826900
1993-04-01,3.9874241202981731
1993-07-01,3.7164673123817100
1993-10-01,3.6641138851092367
1994-01-01,3.4782257814993500
1994-04-01,3.5008060925559999
1994-07-01,3.6565637611427735
1994-10-01,3.5896940095362167
1995-01-01,3.0634705602589032
1995-04-01,2.7805981312413932
1995-07-01,2.8366321532459667
1995-10-01,2.5123203600641400
1996-01-01,2.3149711786716132
1996-04-01,2.1211898517345333
1996-07-01,1.6923904613536567
1996-10-01,1.6619470203491834
1997-01-01,1.7106838717878034
1997-04-01,1.5458668645926667
1997-07-01,1.4916349030269133
1997-10-01,1.4761602711373967
1998-01-01,3.3753151561269565
1998-04-01,4.4608886157020298
1998-07-01,4.6996556527128297
1998-10-01,4.3860374629304263
1999-01-01,4.5151138526544865
1999-04-01,5.1996187014817567
1999-07-01,4.4749848271306100
1999-10-01,4.6685358912500200
2000-01-01,4.4181669865806573
2000-04-01,5.0025106927943098
2000-07-01,4.8529482222434502
2000-10-01,4.7886266638864833
2001-01-01,4.8530788693349103
2001-04-01,4.6984889633679533
2001-07-01,4.6018550674474532
2001-10-01,4.2811462139264802
2002-01-01,4.2468224885049463
2002-04-01,4.2283574637100533
2002-07-01,4.4188445094748037
2002-10-01,4.3760076861136000
2003-01-01,4.2394417162417167
2003-04-01,4.0603829350741301
2003-07-01,3.9620624092649439
2003-10-01,3.9413138378148001
2004-01-01,4.1674002846921167
2004-04-01,4.1259487707417767
2004-07-01,3.8024710503148666
2004-10-01,3.8724954624998268
2005-01-01,3.8318470241028231
2005-04-01,3.9589425313461835
2005-07-01,4.0723687428238302
2005-10-01,4.1701597907704303
2006-01-01,4.1306123511325098
2006-04-01,3.9963124711437102
2006-07-01,3.8045643054256203
2006-10-01,3.5674692459252700
2007-01-01,3.4614028612197999
2007-04-01,3.7058050602268066
2007-07-01,4.0316505414309933
2007-10-01,4.4683763854526702
2008-01-01,4.8237417827463533
2008-04-01,5.2135197352111300
2008-07-01,5.3289045463888330
2008-10-01,5.4057849922752463
2009-01-01,5.4813571456140972
2009-04-01,5.4162453355826697
2009-07-01,5.6303386410793103
2009-10-01,5.6819656215907867
2010-01-01,5.6031367552774207
2010-04-01,5.4789541941950693
2010-07-01,5.5687310176250033
2010-10-01,5.6287785776212500
2011-01-01,5.8888394737444700
2011-04-01,5.9716133740849697
2011-07-01,6.0067775655382737
2011-10-01,6.2136537658056935
2012-01-01,6.3736206116981028
2012-04-01,6.4620017854382532
2012-07-01,6.5484613617276700
2012-10-01,6.5960954515390767
2013-01-01,6.4569394494532300
2013-04-01,6.4224535911977960
2013-07-01,6.2906277730085133
2013-10-01,6.0728000548264067
2014-01-01,6.2088234743802133
2014-04-01,6.3218244879368133
2014-07-01,6.5679206738617573
2014-10-01,6.6058240698305133
2015-01-01,6.1623415063827933
2015-04-01,6.8620926791043000
2015-07-01,6.6752599840843600
2015-10-01,6.5338944572714837
2016-01-01,6.3546379385247600
2016-04-01,6.2019505403548163
2016-07-01,5.6832795397262427
2016-10-01,5.6248299886463200
2017-01-01,5.4192667344568367
2017-04-01,5.2712135593954200
2017-07-01,5.1886618133286633
2017-10-01,5.1835295681655500
2018-01-01,4.9921416516880697
2018-04-01,4.7328546476591400
2018-07-01,4.7942695571859367
2018-10-01,4.6097951713461170
2019-01-01,4.6667868759375170
2019-04-01,4.6257222035935032
2019-07-01,4.5644734694408433
2019-10-01,4.5059747309012303
2020-01-01,4.4757497341977570
2020-04-01,4.4827932071641603
2020-07-01,4.2364684642534162
2020-10-01,4.0019707947195633
2021-01-01,3.7824403204474133
2021-04-01,3.8088744432937000
2021-07-01,3.8082071974026400
2021-10-01,3.8980796141541900
2022-01-01,3.8871680223413902
2022-04-01,3.7718607317804267
2022-07-01,3.8460475797195067
2022-10-01,3.8930420681870466
2023-01-01,3.9211196199058167
2023-04-01,3.9072350502754500
2023-07-01,3.8804432554511501
2023-10-01,3.7906919118408800
2024-01-01,.
